sensor, date, amplitude
Sensor 4,20250530,9.83
Sensor 4,20250531,1.54
Sensor 4,20250601,2.71
Sensor 4,20250602,2.60
Sensor 5,20250505,3.79
Sensor 5,20250506,2.89
Sensor 5,20250507,3.49
Sensor 5,20250508,5.51
Sensor 5,20250509,3.61
Sensor 5,20250510,4.59
Sensor 5,20250511,0.77
Sensor 5,20250512,1.25
Sensor 5,20250513,1.40
Sensor 5,20250514,1.50
Sensor 5,20250515,3.36
Sensor 5,20250516,2.64
Sensor 5,20250517,1.29
Sensor 5,20250518,0.72
Sensor 5,20250519,0.04
Sensor 5,20250520,0.28
Sensor 5,20250521,1.09
Sensor 5,20250522,1.14
Sensor 5,20250523,0.92
Sensor 5,20250524,0.77
Sensor 5,20250525,1.62
Sensor 5,20250526,1.37
Sensor 5,20250527,1.48
Sensor 5,20250528,0.83
Sensor 5,20250529,1.59
Sensor 5,20250530,1.59
Sensor 5,20250531,0.28
Sensor 5,20250601,0.43
Sensor 5,20250602,0.97
Sensor 5,20250603,0.52
Sensor 5,20250604,0.37
Sensor 8,20250504,0.00
Sensor 8,20250505,30.16
Sensor 8,20250506,13.06
Sensor 8,20250507,139.36
Sensor 8,20250508,61.39
Sensor 8,20250509,36.68
Sensor 8,20250510,44.39
Sensor 8,20250511,72.87
Sensor 8,20250512,146.17
Sensor 8,20250513,126.82
Sensor 8,20250514,337.93
Sensor 8,20250515,341.89
Sensor 8,20250516,499.50
Sensor 8,20250517,268.54
Sensor 8,20250518,83.83
Sensor 8,20250519,88.42
Sensor 8,20250520,66.48
Sensor 8,20250521,29.72
Sensor 8,20250522,72.39
Sensor 8,20250523,25.85
Sensor 8,20250524,40.57
Sensor 8,20250525,33.72
Sensor 8,20250526,93.96
Sensor 8,20250527,130.45
Sensor 8,20250528,81.01
Sensor 8,20250529,286.47
Sensor 8,20250530,212.33
Sensor 8,20250531,60.96
Sensor 8,20250601,83.59
Sensor 8,20250602,162.99
Sensor 8,20250603,174.87
Sensor 8,20250604,157.98
Sensor 9,20250511,24.40
Sensor 9,20250512,72.26
Sensor 9,20250513,57.46
Sensor 9,20250514,141.54
Sensor 9,20250515,176.19
Sensor 9,20250516,202.45
Sensor 9,20250517,63.27
Sensor 9,20250518,122.65
Sensor 9,20250519,12.61
Sensor 9,20250520,49.56
Sensor 9,20250521,27.49
Sensor 9,20250522,25.51
Sensor 9,20250523,13.64
Sensor 9,20250524,8.22
Sensor 9,20250525,23.88
Sensor 9,20250526,53.19
Sensor 9,20250527,135.55
Sensor 9,20250528,58.87
Sensor 9,20250529,114.90
Sensor 9,20250530,78.00
Sensor 9,20250531,8.45
Sensor 9,20250601,35.63
Sensor 9,20250602,60.65
Sensor 9,20250603,63.97
Sensor 9,20250604,62.68
