sensor, date, amplitude
Sensor 9,20250628,2.43
Sensor 9,20250629,0.56
Sensor 9,20250630,3.58
Sensor 9,20250701,6.41
Sensor 9,20250702,3.84
Sensor 9,20250703,0.27
Sensor 1,20250504,0.00
Sensor 1,20250505,2.30
Sensor 1,20250506,0.97
Sensor 1,20250507,5.24
Sensor 1,20250508,1.67
Sensor 1,20250509,0.88
Sensor 1,20250510,0.61
Sensor 1,20250511,0.52
Sensor 1,20250512,1.12
Sensor 1,20250513,0.33
Sensor 1,20250514,1.19
Sensor 1,20250515,0.52
Sensor 1,20250516,1.22
Sensor 1,20250517,0.02
Sensor 1,20250518,0.03
Sensor 1,20250519,0.01
Sensor 1,20250520,0.00
Sensor 1,20250521,0.03
Sensor 1,20250522,0.00
Sensor 1,20250523,0.00
Sensor 1,20250524,0.00
Sensor 1,20250525,0.01
Sensor 1,20250526,0.24
Sensor 1,20250527,0.08
Sensor 1,20250528,0.02
Sensor 1,20250529,0.01
Sensor 1,20250530,0.01
Sensor 1,20250531,0.01
Sensor 1,20250601,0.00
Sensor 1,20250602,0.00
Sensor 1,20250603,0.00
Sensor 1,20250604,0.00
Sensor 10,20250505,17.10
Sensor 10,20250506,7.57
Sensor 10,20250507,43.87
Sensor 10,20250508,12.82
Sensor 10,20250509,17.42
Sensor 10,20250510,22.32
Sensor 10,20250511,8.11
Sensor 10,20250512,5.88
Sensor 10,20250513,4.74
Sensor 10,20250514,16.34
Sensor 10,20250515,29.11
Sensor 10,20250516,61.44
Sensor 10,20250517,27.43
Sensor 10,20250518,29.22
Sensor 10,20250519,10.09
Sensor 10,20250520,40.60
Sensor 10,20250521,12.13
Sensor 10,20250522,35.60
Sensor 10,20250523,9.72
Sensor 10,20250524,18.90
Sensor 10,20250525,12.87
Sensor 10,20250526,12.00
Sensor 10,20250527,14.18
Sensor 10,20250528,4.60
Sensor 10,20250529,15.43
Sensor 10,20250530,14.45
Sensor 10,20250531,1.36
Sensor 10,20250601,4.10
Sensor 10,20250602,23.25
Sensor 10,20250603,23.10
Sensor 10,20250604,44.56
Sensor 11,20250505,70.71
Sensor 11,20250506,5.72
Sensor 11,20250507,34.17
Sensor 11,20250508,47.15
Sensor 11,20250509,59.02
Sensor 11,20250510,47.19
Sensor 11,20250511,49.08
Sensor 11,20250512,23.65
Sensor 11,20250513,79.36
Sensor 11,20250514,81.89
Sensor 11,20250515,133.71
Sensor 11,20250516,101.87
Sensor 11,20250517,83.79
Sensor 11,20250518,29.88
Sensor 11,20250519,20.50
Sensor 11,20250520,21.74
Sensor 11,20250521,5.03
Sensor 11,20250522,3.49
Sensor 11,20250523,5.27
Sensor 11,20250524,19.67
Sensor 11,20250525,15.98
Sensor 11,20250526,10.76
Sensor 11,20250527,14.18
Sensor 11,20250528,22.24
Sensor 11,20250529,18.76
Sensor 11,20250530,39.79
Sensor 11,20250531,38.40
Sensor 11,20250601,28.49
Sensor 11,20250602,105.05
Sensor 11,20250603,138.98
Sensor 11,20250604,16.61
Sensor 12,20250505,37.33
Sensor 12,20250506,2.33
Sensor 12,20250507,13.29
Sensor 12,20250508,68.27
Sensor 12,20250509,48.83
Sensor 12,20250510,7.86
Sensor 12,20250511,57.98
Sensor 12,20250512,9.41
Sensor 12,20250513,6.56
Sensor 12,20250514,36.60
Sensor 12,20250515,13.60
Sensor 12,20250516,5.19
Sensor 12,20250517,7.28
Sensor 12,20250518,2.56
Sensor 12,20250519,27.09
Sensor 12,20250520,21.93
Sensor 12,20250521,0.69
Sensor 12,20250522,0.24
Sensor 12,20250523,8.19
Sensor 12,20250524,8.54
Sensor 12,20250525,7.21
Sensor 12,20250526,1.46
Sensor 12,20250527,1.31
Sensor 12,20250528,0.58
Sensor 12,20250529,8.60
Sensor 12,20250530,3.39
Sensor 12,20250531,8.53
Sensor 12,20250601,11.01
Sensor 12,20250602,36.94
Sensor 12,20250603,26.73
Sensor 12,20250604,12.96
Sensor 12,20250605,0.00
Sensor 13,20250505,23.01
Sensor 13,20250506,2.89
Sensor 13,20250507,8.90
Sensor 13,20250508,16.54
Sensor 13,20250509,20.48
Sensor 13,20250510,34.70
Sensor 13,20250511,40.22
Sensor 14,20250505,26.36
Sensor 14,20250506,5.42
Sensor 14,20250507,21.21
Sensor 14,20250508,11.03
Sensor 14,20250509,11.41
Sensor 14,20250510,23.19
Sensor 14,20250511,22.48
Sensor 14,20250512,4.55
Sensor 14,20250513,1.98
Sensor 14,20250514,12.81
Sensor 14,20250515,14.02
Sensor 14,20250516,30.93
Sensor 14,20250517,42.28
Sensor 14,20250518,39.22
Sensor 14,20250519,61.79
Sensor 14,20250520,28.10
Sensor 14,20250521,3.04
Sensor 14,20250522,3.80
Sensor 14,20250523,18.61
Sensor 14,20250524,21.57
Sensor 14,20250525,26.81
Sensor 14,20250526,14.73
Sensor 14,20250527,14.04
Sensor 14,20250528,76.72
Sensor 14,20250529,52.03
Sensor 14,20250530,169.30
Sensor 14,20250531,55.04
Sensor 14,20250601,59.22
Sensor 14,20250602,88.34
Sensor 14,20250603,190.36
Sensor 14,20250604,67.81
Sensor 15,20250505,40.37
Sensor 15,20250506,5.81
Sensor 15,20250507,17.05
Sensor 15,20250508,37.44
Sensor 15,20250509,70.42
Sensor 15,20250510,26.99
Sensor 15,20250511,93.48
Sensor 15,20250512,24.40
Sensor 15,20250513,12.33
Sensor 15,20250514,16.72
Sensor 15,20250515,44.76
Sensor 15,20250516,10.07
Sensor 15,20250517,9.91
Sensor 15,20250518,5.78
Sensor 15,20250519,21.23
Sensor 15,20250520,42.65
Sensor 15,20250521,0.56
Sensor 15,20250522,0.25
Sensor 15,20250523,4.10
Sensor 15,20250524,9.35
Sensor 15,20250525,9.49
Sensor 15,20250526,12.85
Sensor 15,20250527,2.06
Sensor 15,20250528,2.32
Sensor 15,20250529,1.33
Sensor 15,20250530,1.43
Sensor 15,20250531,3.35
Sensor 15,20250601,1.69
Sensor 15,20250602,11.58
Sensor 15,20250603,69.36
Sensor 15,20250604,17.92
Sensor 16,20250505,4.71
Sensor 16,20250506,0.82
Sensor 16,20250507,0.80
Sensor 16,20250508,1.61
Sensor 16,20250509,5.37
Sensor 16,20250510,1.45
Sensor 16,20250511,16.81
Sensor 16,20250512,12.31
Sensor 16,20250513,14.17
Sensor 16,20250514,8.38
Sensor 16,20250515,2.48
Sensor 16,20250516,5.54
Sensor 16,20250517,0.69
Sensor 16,20250518,0.65
Sensor 16,20250519,6.37
Sensor 16,20250520,31.58
Sensor 16,20250521,0.66
Sensor 16,20250522,0.03
Sensor 16,20250523,0.02
Sensor 16,20250524,0.01
Sensor 16,20250525,0.01
Sensor 16,20250526,0.58
Sensor 16,20250527,2.80
Sensor 16,20250528,0.17
Sensor 16,20250529,0.56
Sensor 16,20250530,0.40
Sensor 16,20250531,0.13
Sensor 17,20250505,56.06
Sensor 17,20250506,5.19
Sensor 17,20250507,10.75
Sensor 17,20250508,10.44
Sensor 17,20250509,10.97
Sensor 17,20250510,32.90
Sensor 17,20250511,33.96
Sensor 17,20250512,10.92
Sensor 17,20250513,6.56
Sensor 17,20250514,14.81
Sensor 17,20250515,2.50
Sensor 17,20250516,12.59
Sensor 17,20250517,6.00
Sensor 17,20250518,11.24
Sensor 17,20250519,26.93
Sensor 17,20250520,63.37
Sensor 17,20250521,11.70
Sensor 17,20250522,24.49
Sensor 17,20250523,63.18
Sensor 17,20250524,55.21
