sensor, date, amplitude
Sensor 22,20250519,81.12
Sensor 22,20250520,91.86
Sensor 22,20250521,3.04
Sensor 22,20250522,4.30
Sensor 22,20250523,23.44
Sensor 22,20250524,44.05
Sensor 22,20250525,34.18
Sensor 22,20250526,15.03
Sensor 22,20250527,8.82
Sensor 22,20250528,5.99
Sensor 22,20250529,6.39
Sensor 22,20250530,5.50
Sensor 22,20250531,17.83
Sensor 22,20250601,12.26
Sensor 22,20250602,17.78
Sensor 22,20250603,20.51
Sensor 22,20250604,31.01
Sensor 23,20250504,0.00
Sensor 23,20250505,0.06
Sensor 23,20250506,0.35
Sensor 23,20250507,0.58
Sensor 23,20250508,3.75
Sensor 23,20250509,1.52
Sensor 23,20250510,0.00
Sensor 23,20250511,0.00
Sensor 23,20250512,0.10
Sensor 23,20250513,0.27
Sensor 23,20250514,14.64
Sensor 23,20250515,15.00
Sensor 23,20250516,12.93
Sensor 23,20250517,8.74
Sensor 23,20250518,1.28
Sensor 23,20250519,0.06
Sensor 23,20250520,0.00
Sensor 23,20250521,0.02
Sensor 23,20250522,0.01
Sensor 23,20250523,0.03
Sensor 23,20250524,0.02
Sensor 23,20250525,0.24
Sensor 23,20250526,0.91
Sensor 23,20250527,1.57
Sensor 23,20250528,0.45
Sensor 23,20250529,0.31
Sensor 23,20250530,0.64
Sensor 23,20250531,1.02
Sensor 23,20250601,0.22
Sensor 23,20250602,20.64
Sensor 23,20250603,17.26
Sensor 23,20250604,62.70
Sensor 24,20250505,0.35
Sensor 24,20250506,0.74
Sensor 24,20250507,1.23
Sensor 24,20250508,5.23
Sensor 24,20250509,2.69
Sensor 24,20250510,5.50
Sensor 24,20250511,28.31
Sensor 24,20250512,10.28
Sensor 24,20250513,28.07
Sensor 24,20250514,28.68
Sensor 24,20250515,40.75
Sensor 24,20250516,58.48
Sensor 24,20250517,23.51
Sensor 24,20250518,8.10
Sensor 24,20250519,12.53
Sensor 24,20250520,16.62
Sensor 24,20250521,7.28
Sensor 24,20250522,4.26
Sensor 24,20250523,8.79
Sensor 24,20250524,13.85
Sensor 24,20250525,17.25
Sensor 24,20250526,33.68
Sensor 24,20250527,32.57
Sensor 24,20250528,22.59
Sensor 24,20250529,30.83
Sensor 24,20250530,18.24
Sensor 24,20250531,14.81
Sensor 24,20250601,38.18
Sensor 24,20250602,20.63
Sensor 24,20250603,16.74
Sensor 24,20250604,25.59
Sensor 3,20250505,0.36
Sensor 3,20250506,0.11
Sensor 3,20250507,0.20
Sensor 3,20250508,5.64
Sensor 3,20250509,2.57
Sensor 3,20250510,4.69
Sensor 3,20250511,0.87
Sensor 3,20250512,0.61
Sensor 3,20250513,2.29
Sensor 3,20250514,2.38
Sensor 3,20250515,4.45
Sensor 3,20250516,4.57
Sensor 3,20250517,2.26
Sensor 3,20250518,1.90
Sensor 3,20250519,0.03
Sensor 3,20250520,0.23
Sensor 3,20250521,1.33
Sensor 3,20250522,1.09
Sensor 3,20250523,0.74
Sensor 3,20250524,0.24
Sensor 3,20250525,0.97
Sensor 3,20250526,2.62
Sensor 3,20250527,2.56
Sensor 3,20250528,1.89
Sensor 3,20250529,1.63
Sensor 3,20250530,2.56
Sensor 3,20250531,0.39
Sensor 3,20250601,0.29
Sensor 3,20250602,0.78
Sensor 3,20250603,0.00
Sensor 4,20250505,0.15
Sensor 4,20250506,0.08
Sensor 4,20250507,0.21
Sensor 4,20250508,0.38
Sensor 4,20250509,0.00
Sensor 4,20250510,0.20
Sensor 4,20250511,0.25
Sensor 4,20250512,2.13
Sensor 4,20250513,5.79
Sensor 4,20250514,11.86
Sensor 4,20250515,13.03
Sensor 4,20250516,23.51
Sensor 4,20250517,7.05
Sensor 4,20250518,3.05
Sensor 4,20250519,0.90
Sensor 4,20250520,1.01
Sensor 4,20250521,1.78
Sensor 4,20250522,2.90
Sensor 4,20250523,0.78
Sensor 4,20250524,0.46
Sensor 4,20250525,1.59
Sensor 4,20250526,1.87
Sensor 4,20250527,4.57
Sensor 4,20250528,3.42
Sensor 4,20250529,7.09
Sensor 4,20250530,5.89
Sensor 4,20250531,1.42
Sensor 4,20250601,2.08
Sensor 4,20250602,2.55
Sensor 5,20250505,0.06
Sensor 5,20250506,0.03
Sensor 5,20250507,0.07
Sensor 5,20250508,2.61
Sensor 5,20250509,3.29
Sensor 5,20250510,2.12
Sensor 5,20250511,0.62
Sensor 5,20250512,1.00
Sensor 5,20250513,1.28
Sensor 5,20250514,1.46
Sensor 5,20250515,3.34
Sensor 5,20250516,2.55
Sensor 5,20250517,1.24
Sensor 5,20250518,0.69
Sensor 5,20250519,0.03
Sensor 5,20250520,0.28
Sensor 5,20250521,1.08
Sensor 5,20250522,1.12
Sensor 5,20250523,0.92
Sensor 5,20250524,0.77
Sensor 5,20250525,1.51
Sensor 5,20250526,1.36
Sensor 5,20250527,1.30
Sensor 5,20250528,0.69
Sensor 5,20250529,1.56
Sensor 5,20250530,1.57
Sensor 5,20250531,0.28
Sensor 5,20250601,0.43
Sensor 5,20250602,0.96
Sensor 5,20250603,0.51
Sensor 5,20250604,0.35
Sensor 8,20250504,0.00
Sensor 8,20250505,1.85
Sensor 8,20250506,4.91
Sensor 8,20250507,12.07
